epoch,train_loss,train_acc,train_acck,val_loss,val_acc,val_acck,val_macro_f1,val_weighted_f1,lr
1,3.1364760355906443,0.08513037350246652,0.2364436447083413,2.5442878901958466,0.297244094488189,0.6068638414144516,0.23125523049890231,0.23211470672648354,0.0001
2,1.940258815481856,0.45567300916138126,0.745471014632835,1.146996170282364,0.8287401574803149,0.9503348246216774,0.8132203103367165,0.814391476074544,0.0001
3,1.0874857956224733,0.7306553911205074,0.9355292792792793,0.5714151263237,0.9133858267716536,0.9762834832072258,0.9070571038232784,0.9076544078921155,0.0001
4,0.618249652756227,0.8683579985905567,0.977759009009009,0.30170456506311893,0.9547244094488189,0.9880022332072258,0.9544549165007139,0.9547589396506998,0.0001
5,0.36116993689053767,0.9303735024665257,0.9878941441441441,0.1702922428958118,0.9704724409448819,0.9919084832072258,0.9703373052736141,0.9703994509496717,0.0001
6,0.24154260355207297,0.9557434813248766,0.9926250979707048,0.14066774514503777,0.968503937007874,0.9899553582072258,0.9681441908638049,0.9681387945325098,0.0001
7,0.16218826379459184,0.9730796335447498,0.9943693693693694,0.11579953122418374,0.9763779527559056,0.9919084832072258,0.9764759297932761,0.9765374148274463,0.0001
8,0.11419248184910766,0.9818181818181818,0.9964808558558559,0.06962097474024631,0.9763779527559056,0.994140625,0.9764380842167946,0.9764027510508716,0.0001
9,0.0757264946964947,0.9874559548978153,0.9977477477477478,0.05216372027643956,0.9862204724409449,0.994140625,0.9862199673101224,0.9862054147353289,7e-05
10,0.04973772539429971,0.9928118393234673,0.9980292792792793,0.07137024628173094,0.9783464566929134,0.9958147332072258,0.9781685330194266,0.9781206691615756,7e-05
11,0.041766476760794584,0.9930937279774489,0.9987331081081081,0.055170711828395724,0.984251968503937,0.99609375,0.9842395742958594,0.9841251097732756,7e-05
12,0.03326995593185226,0.9945031712473573,0.9996633862589931,0.04283159453916596,0.9881889763779528,0.9938616082072258,0.9882494595637679,0.9881765139313178,7e-05
13,0.024639918044133968,0.9957716701902748,0.9997184684684685,0.049441325030784355,0.984251968503937,0.998046875,0.9842574203663372,0.9841885997922154,7e-05
14,0.022068356444874593,0.9967582804792107,0.9997184684684685,0.06224142332939664,0.9803149606299213,0.998046875,0.9804791642428653,0.9804076211696773,7e-05
15,0.016852881194109114,0.9968992248062015,0.9997184684684685,0.06987156142349704,0.9803149606299213,0.9958147332072258,0.980345151913731,0.9803866119303083,7e-05
16,0.01365157265398601,0.99830866807611,1.0,0.05443151502004184,0.9822834645669292,0.99609375,0.9821730173710029,0.9821693449704325,7e-05
17,0.01269056689915004,0.9980267794221283,1.0,0.07799376089769794,0.9822834645669292,0.9938616082072258,0.9822100820422138,0.9822980474507266,4.899999999999999e-05
18,0.009797033409143353,0.9992952783650458,1.0,0.03911182636238664,0.9901574803149606,0.998046875,0.9901236674688833,0.9900392679320084,4.899999999999999e-05
19,0.007128007884602994,0.9994362226920367,1.0,0.0398162561564277,0.9862204724409449,0.998046875,0.986264262530679,0.9862033093500349,4.899999999999999e-05
20,0.006514594576852229,0.9994362226920367,1.0,0.052068543377572496,0.9881889763779528,0.998046875,0.988101981481067,0.988179836670861,4.899999999999999e-05
21,0.006232562820612755,0.9995771670190274,1.0,0.07925248827632458,0.984251968503937,0.9938616082072258,0.9842930924667865,0.9842304994404143,4.899999999999999e-05
22,0.006840307514344736,0.9995771670190274,0.9998592342342343,0.04852504831751503,0.9881889763779528,0.99609375,0.9881033740518286,0.9881837858599909,4.899999999999999e-05
23,0.005071977978028978,0.9994362226920367,1.0,0.090888131130896,0.9822834645669292,0.994140625,0.9821633778876792,0.9821034748258223,4.899999999999999e-05
24,0.006675869711650627,0.9992952783650458,1.0,0.04524955360898275,0.9862204724409449,0.998046875,0.9861816999641627,0.9861583348136117,4.899999999999999e-05
25,0.0037005383300811037,0.9997181113460183,1.0,0.0486720988540128,0.9921259842519685,0.99609375,0.9920467443919603,0.9919598211320891,3.4299999999999993e-05
26,0.003395646554365469,0.9998590556730091,1.0,0.05897388623043298,0.9881889763779528,0.99609375,0.9879965583999355,0.988069266730204,3.4299999999999993e-05
27,0.002732886160555535,0.9998590556730091,1.0,0.06311361047630726,0.9862204724409449,0.998046875,0.9862713103529733,0.9861570934847799,3.4299999999999993e-05
28,0.002951046495581977,0.9995771670190274,1.0,0.09199811639064137,0.9803149606299213,0.99609375,0.9803002123012985,0.9803451971107102,3.4299999999999993e-05
29,0.002864169511946153,0.9998590556730091,1.0,0.04760363121067712,0.9881889763779528,0.994140625,0.9882007907064685,0.9881773745020842,3.4299999999999993e-05
30,0.005227562413065325,0.9992952783650458,1.0,0.05167257981543116,0.9901574803149606,0.99609375,0.9900276536496543,0.9901003898709416,3.4299999999999993e-05
